,,F1@20ms,F1@50ms,MedianBE,%>50ms,AAS,DurErr
ctrl,MFA,77.57709556128731,94.71170594158117,9.999999999999787,4.830579669560348,89.78577429291515,2.394649834335192
sla,MFA,55.220450316570314,78.15263713553026,19.48799999999551,27.28860427885315,68.99723475476641,-10.127924992958443
park,MFA,73.064979501742,93.21472083560309,10.000000000005116,8.72538860103627,85.97927461139896,2.491278534602154
cereb,MFA,65.67961488743178,88.8443669769326,10.62000000000296,12.543073742246728,82.53158741098092,1.4248255205625393
ctrl,CTC,48.87530625571606,87.36562093641687,16.65699999999859,12.433492019042285,80.79389526743208,-68.91223555738573
sla,CTC,26.526080253496236,62.4656361318216,37.812999999999874,40.881967690292534,55.97292970455538,-130.72009783840858
park,CTC,47.28933788474361,86.97461313497006,18.214000000000397,14.673575129533678,78.6321243523316,-66.89650620121003
cereb,CTC,32.88057959599216,74.81875072713717,27.44700000000222,27.452331725246953,68.58258672180106,-97.27109776878999
